n_qubits,gs_sparsity,ham_sparsity,overlap,actual_overlap,Q_frac,Q_int,epsilon,seed,dim,gs_support_size,ham_nnz,gap,true_ground_energy,krab_final_energy,krab_rel_error_final,krab_final_subspace,krab_iterations_run,krab_max_iterations,krab_native_converged,krab_iter_to_target,krab_subspace_at_target,krab_n_states_to_target,krab_walltime_s,skqd_best_t,skqd_best_n_states_to_target,skqd_any_converged,skqd_best_final_energy,skqd_walltime_s,rand_median_n_states_to_target,rand_min_n_states_to_target,n_random_paths,krab_beats_skqd,advantage_ratio
6,0.05,0.1,0.1,0.102226716202623,0.2,13,1e-07,42,64,4,510,1.0,-5.000000000000008,-5.000000000000002,1.2434497875801733e-15,4,2,41,True,1,18,4,0.0028861230239272118,0.8,6,True,-5.000000000000032,1.1677325698547065,51.5,27,20,True,1.5
6,0.05,0.1,0.1,0.102226716202623,0.2,13,1e-06,42,64,4,510,1.0,-5.000000000000008,-5.000000000000002,1.2434497875801733e-15,4,2,41,True,1,18,4,0.0021559579763561487,0.6,5,True,-5.00000000000003,1.1634778121951967,54.5,40,20,True,1.25
6,0.05,0.1,0.3,0.3137098842006708,0.2,13,1e-07,42,64,4,510,1.0,-5.000000000000008,-4.999999999999998,1.9539925233402725e-15,4,2,41,True,1,18,4,0.002404503058642149,0.8,6,True,-5.000000000000034,1.169681501807645,51.5,21,20,True,1.5
6,0.05,0.1,0.3,0.3137098842006708,0.2,13,1e-05,42,64,4,510,1.0,-5.000000000000008,-4.999999999999998,1.9539925233402725e-15,4,2,41,True,1,14,4,0.0023632219526916742,0.9,8,True,-5.000000000000031,1.1802003309130669,51.0,13,20,True,2.0
6,0.05,0.1,0.3,0.3137098842006708,0.2,13,1e-06,42,64,4,510,1.0,-5.000000000000008,-4.999999999999998,1.9539925233402725e-15,4,2,41,True,1,16,4,0.00232218811288476,0.3,6,True,-5.00000000000005,1.1771141898352653,54.0,20,20,True,1.5
6,0.05,0.1,0.3,0.3137098842006708,0.2,13,0.0001,42,64,4,510,1.0,-5.000000000000008,-4.999999999999998,1.9539925233402725e-15,4,2,41,True,1,12,4,0.0022685457952320576,0.1,7,True,-5.000000000000032,1.170529566006735,48.0,25,20,True,1.75
6,0.05,0.1,0.1,0.102226716202623,0.2,13,1e-05,42,64,4,510,1.0,-5.000000000000008,-5.000000000000002,1.2434497875801733e-15,4,2,41,True,1,18,4,0.002175907138735056,0.6,14,True,-5.000000000000034,1.1824347691144794,51.5,9,20,True,3.5
6,0.05,0.1,0.1,0.102226716202623,0.2,13,0.0001,42,64,4,510,1.0,-5.000000000000008,-5.000000000000002,1.2434497875801733e-15,4,2,41,True,1,17,4,0.0022662319242954254,0.8,11,True,-5.00000000000004,1.1717667989432812,54.0,15,20,True,2.75
6,0.05,0.25,0.1,0.102226716202623,0.2,13,1e-07,42,64,4,1162,1.0,-5.000000000000002,-5.000000000000001,1.7763568394002498e-16,4,2,41,True,1,22,4,0.002476596971973777,1.0,9,True,-5.000000000000028,0.8635706901550293,46.0,29,20,True,2.25
6,0.05,0.25,0.1,0.102226716202623,0.2,13,0.0001,42,64,4,1162,1.0,-5.000000000000002,-5.000000000000001,1.7763568394002498e-16,4,2,41,True,1,22,4,0.0024568159133195877,0.9,13,True,-5.000000000000031,0.8668529950082302,47.5,17,20,True,3.25
6,0.05,0.25,0.1,0.102226716202623,0.2,13,1e-06,42,64,4,1162,1.0,-5.000000000000002,-5.000000000000001,1.7763568394002498e-16,4,2,41,True,1,22,4,0.0024270869325846434,0.8,7,True,-5.00000000000003,0.8703633570112288,53.5,35,20,True,1.75
6,0.05,0.25,0.1,0.102226716202623,0.2,13,1e-05,42,64,4,1162,1.0,-5.000000000000002,-5.000000000000001,1.7763568394002498e-16,4,2,41,True,1,22,4,0.0024675470776855946,0.9,12,True,-5.000000000000029,0.8670006699394435,51.5,35,20,True,3.0
6,0.05,0.1,0.8,0.4928031770049739,0.2,13,1e-07,42,64,4,510,1.0,-5.000000000000008,-5.000000000000001,1.421085471520198e-15,4,1,41,True,0,13,4,0.0015435758978128433,0.5,8,True,-5.000000000000041,1.181325119221583,57.5,23,20,True,2.0
6,0.05,0.1,0.8,0.4928031770049739,0.2,13,1e-06,42,64,4,510,1.0,-5.000000000000008,-5.000000000000001,1.421085471520198e-15,4,1,41,True,0,13,4,0.0016305218450725079,0.9,6,True,-5.00000000000004,1.1828408010769635,51.5,14,20,True,1.5
6,0.05,0.1,0.8,0.4928031770049739,0.2,13,1e-05,42,64,4,510,1.0,-5.000000000000008,-5.000000000000001,1.421085471520198e-15,4,1,41,True,0,13,4,0.0015350680332630873,0.3,7,True,-5.000000000000035,1.1806259921286255,51.5,10,20,True,1.75
6,0.05,0.1,0.8,0.4928031770049739,0.2,13,0.0001,42,64,4,510,1.0,-5.000000000000008,-5.000000000000001,1.421085471520198e-15,4,1,41,True,0,13,4,0.001497478922829032,0.3,6,True,-5.000000000000049,1.1645996409934014,54.0,15,20,True,1.5
6,0.05,0.25,0.8,0.4928031770049739,0.2,13,1e-07,42,64,4,1162,1.0,-5.000000000000002,-5.0,3.5527136788004996e-16,4,1,41,True,0,13,4,0.0016116609331220388,0.8,4,True,-5.000000000000027,0.856462457915768,53.5,17,20,False,1.0
6,0.05,0.25,0.8,0.4928031770049739,0.2,13,1e-06,42,64,4,1162,1.0,-5.000000000000002,-5.0,3.5527136788004996e-16,4,1,41,True,0,13,4,0.0016196479555219412,0.4,6,True,-5.000000000000026,0.8546070361044258,54.5,24,20,True,1.5
6,0.05,0.25,0.8,0.4928031770049739,0.2,13,0.0001,42,64,4,1162,1.0,-5.000000000000002,-5.0,3.5527136788004996e-16,4,1,41,True,0,13,4,0.0016563870012760162,0.1,7,True,-5.000000000000029,0.8592376820743084,41.5,21,20,True,1.75
6,0.05,0.25,0.8,0.4928031770049739,0.2,13,1e-05,42,64,4,1162,1.0,-5.000000000000002,-5.0,3.5527136788004996e-16,4,1,41,True,0,13,4,0.0016037081368267536,0.3,5,True,-5.000000000000033,0.8580434259492904,47.5,19,20,True,1.25
6,0.05,0.25,0.5,0.4928031770049739,0.2,13,1e-07,42,64,4,1162,1.0,-5.000000000000002,-5.0,3.5527136788004996e-16,4,1,41,True,0,13,4,0.0016259229741990566,0.3,5,True,-5.000000000000037,0.8577340668998659,49.5,23,20,True,1.25
6,0.05,0.25,0.5,0.4928031770049739,0.2,13,1e-06,42,64,4,1162,1.0,-5.000000000000002,-5.0,3.5527136788004996e-16,4,1,41,True,0,13,4,0.001597910886630416,0.4,7,True,-5.00000000000004,0.8568076158408076,50.5,22,20,True,1.75
6,0.05,0.25,0.5,0.4928031770049739,0.2,13,1e-05,42,64,4,1162,1.0,-5.000000000000002,-5.0,3.5527136788004996e-16,4,1,41,True,0,13,4,0.001611664891242981,0.5,7,True,-5.000000000000027,0.8634604341350496,55.0,8,20,True,1.75
6,0.05,0.25,0.5,0.4928031770049739,0.2,13,0.0001,42,64,4,1162,1.0,-5.000000000000002,-5.0,3.5527136788004996e-16,4,1,41,True,0,13,4,0.0015988308005034924,0.2,7,True,-5.000000000000035,0.8573647600132972,50.5,26,20,True,1.75
6,0.05,0.5,0.5,0.4928031770049739,0.2,13,1e-07,42,64,4,2166,1.0,-5.0,-5.0,0.0,4,1,41,True,0,13,4,0.0016972930170595646,0.1,6,True,-5.000000000000031,0.7816902440972626,48.0,27,20,True,1.5
6,0.05,0.5,0.5,0.4928031770049739,0.2,13,1e-06,42,64,4,2166,1.0,-5.0,-5.0,0.0,4,1,41,True,0,13,4,0.001667720964178443,0.001,4,True,-5.0000000000000355,0.7756401791702956,57.5,24,20,False,1.0
6,0.05,0.5,0.5,0.4928031770049739,0.2,13,1e-05,42,64,4,2166,1.0,-5.0,-5.0,0.0,4,1,41,True,0,13,4,0.0016769280191510916,0.2,7,True,-5.000000000000029,0.7802762500941753,48.0,36,20,True,1.75
6,0.05,0.5,0.5,0.4928031770049739,0.2,13,0.0001,42,64,4,2166,1.0,-5.0,-5.0,0.0,4,1,41,True,0,13,4,0.0016688008327037096,1.0,4,True,-5.000000000000013,0.785622482188046,54.0,12,20,False,1.0
6,0.05,0.5,0.3,0.3137098842006708,0.2,13,1e-07,42,64,4,2166,1.0,-5.0,-4.999999999999999,1.7763568394002506e-16,4,2,41,True,1,22,4,0.0026634279638528824,0.6,8,True,-5.000000000000029,0.7814363609068096,55.0,11,20,True,2.0
6,0.05,0.5,0.3,0.3137098842006708,0.2,13,1e-06,42,64,4,2166,1.0,-5.0,-4.999999999999999,1.7763568394002506e-16,4,2,41,True,1,22,4,0.002727612853050232,0.9,13,True,-5.000000000000028,0.7821548848878592,49.0,27,20,True,3.25
6,0.05,0.5,0.3,0.3137098842006708,0.2,13,0.0001,42,64,4,2166,1.0,-5.0,-4.999999999999999,1.7763568394002506e-16,4,2,41,True,1,11,4,0.002374210162088275,0.7,8,True,-5.00000000000003,0.7794572170823812,45.5,22,20,True,2.0
6,0.05,0.5,0.3,0.3137098842006708,0.2,13,1e-05,42,64,4,2166,1.0,-5.0,-4.999999999999999,1.7763568394002506e-16,4,2,41,True,1,19,4,0.002609499031677842,0.7,5,True,-5.00000000000003,0.7842442370019853,49.0,20,20,True,1.25
6,0.1,0.1,0.3,0.2686112156427715,0.2,13,1e-07,42,64,7,546,1.0,-4.999999999999963,-4.999999999999999,7.283063041541081e-15,7,4,41,True,2,25,6,0.004030264914035797,1.0,9,True,-5.000000000000012,1.415509199956432,53.0,41,20,True,1.5
6,0.1,0.1,0.3,0.2686112156427715,0.2,13,1e-06,42,64,7,546,1.0,-4.999999999999963,-4.999999999999999,7.283063041541081e-15,7,4,41,True,2,23,6,0.00369217898696661,0.7,8,True,-5.000000000000017,1.4294482490513474,57.0,34,20,True,1.3333333333333333
6,0.1,0.1,0.3,0.2686112156427715,0.2,13,0.0001,42,64,7,546,1.0,-4.999999999999963,-4.999999999999999,7.283063041541081e-15,7,4,41,True,2,12,6,0.0036057489924132824,0.6,12,True,-5.000000000000023,1.4055930669419467,59.0,35,20,True,2.0
6,0.1,0.1,0.3,0.2686112156427715,0.2,13,1e-05,42,64,7,546,1.0,-4.999999999999963,-4.999999999999999,7.283063041541081e-15,7,4,41,True,2,14,6,0.0035116379149258137,0.9,8,True,-5.000000000000015,1.4194426250178367,56.0,34,20,True,1.3333333333333333
6,0.1,0.1,0.1,0.11721072571111824,0.2,13,1e-07,42,64,7,546,1.0,-4.999999999999963,-5.000000000000001,7.638334409421133e-15,7,3,41,True,1,23,6,0.0031432299874722958,0.5,9,True,-5.00000000000001,1.4253388869110495,56.0,41,20,True,1.5
6,0.1,0.1,0.1,0.11721072571111824,0.2,13,1e-06,42,64,7,546,1.0,-4.999999999999963,-5.000000000000001,7.638334409421133e-15,7,3,41,True,1,23,6,0.0030987290665507317,0.3,7,True,-5.0000000000000275,1.4328996799886227,58.5,40,20,True,1.1666666666666667
6,0.1,0.1,0.1,0.11721072571111824,0.2,13,0.0001,42,64,7,546,1.0,-4.999999999999963,-5.000000000000001,7.638334409421133e-15,7,3,41,True,1,14,6,0.002900484949350357,0.4,12,True,-5.000000000000018,1.4211099529638886,57.0,40,20,True,2.0
6,0.1,0.1,0.1,0.11721072571111824,0.2,13,1e-05,42,64,7,546,1.0,-4.999999999999963,-5.000000000000001,7.638334409421133e-15,7,3,41,True,1,17,6,0.0029707460198551416,0.5,12,True,-5.000000000000015,1.4470484319608659,54.5,36,20,True,2.0
6,0.1,0.25,0.1,0.11721072571111824,0.2,13,1e-07,42,64,7,1182,1.0,-5.0000000000000355,-5.000000000000001,6.927791673660928e-15,7,4,41,True,2,29,6,0.004475014982745051,0.9,7,True,-5.000000000000016,1.1900000690948218,60.5,42,20,True,1.1666666666666667
6,0.1,0.25,0.1,0.11721072571111824,0.2,13,1e-06,42,64,7,1182,1.0,-5.0000000000000355,-5.000000000000001,6.927791673660928e-15,7,4,41,True,2,26,6,0.004215118940919638,0.4,9,True,-5.000000000000014,1.195892320945859,58.0,26,20,True,1.5
6,0.1,0.25,0.1,0.11721072571111824,0.2,13,0.0001,42,64,7,1182,1.0,-5.0000000000000355,-5.000000000000001,6.927791673660928e-15,7,4,41,True,2,12,6,0.003727471921592951,0.3,10,True,-5.000000000000016,1.1823887291830033,56.5,32,20,True,1.6666666666666667
6,0.1,0.25,0.1,0.11721072571111824,0.2,13,1e-05,42,64,7,1182,1.0,-5.0000000000000355,-5.000000000000001,6.927791673660928e-15,7,4,41,True,2,16,6,0.003934995969757438,0.7,8,True,-5.00000000000001,1.1755518659483641,57.0,33,20,True,1.3333333333333333
6,0.1,0.1,0.8,0.2686112156427715,0.2,13,1e-07,42,64,7,546,1.0,-4.999999999999963,-4.999999999999999,7.283063041541081e-15,7,4,41,True,2,25,6,0.0038081069942563772,0.6,9,True,-5.000000000000035,1.4355351799167693,55.0,33,20,True,1.5
6,0.1,0.1,0.8,0.2686112156427715,0.2,13,1e-06,42,64,7,546,1.0,-4.999999999999963,-4.999999999999999,7.283063041541081e-15,7,4,41,True,2,23,6,0.0036918758414685726,0.2,9,True,-5.0000000000000195,1.4581373520195484,59.0,36,20,True,1.5
6,0.1,0.1,0.8,0.2686112156427715,0.2,13,0.0001,42,64,7,546,1.0,-4.999999999999963,-4.999999999999999,7.283063041541081e-15,7,4,41,True,2,12,6,0.0036844229325652122,0.6,8,True,-5.000000000000014,1.422441195929423,55.5,28,20,True,1.3333333333333333
6,0.1,0.1,0.8,0.2686112156427715,0.2,13,1e-05,42,64,7,546,1.0,-4.999999999999963,-4.999999999999999,7.283063041541081e-15,7,4,41,True,2,14,6,0.003551571164280176,0.7,8,True,-5.000000000000027,1.4151949570514262,53.5,26,20,True,1.3333333333333333
6,0.1,0.25,0.8,0.2686112156427715,0.2,13,1e-07,42,64,7,1182,1.0,-5.0000000000000355,-5.000000000000002,6.750155989720904e-15,7,3,41,True,2,27,7,0.0035544829443097115,0.5,8,True,-5.000000000000026,1.178680800832808,58.0,38,20,True,1.1428571428571428
6,0.1,0.25,0.8,0.2686112156427715,0.2,13,1e-06,42,64,7,1182,1.0,-5.0000000000000355,-5.000000000000002,6.750155989720904e-15,7,3,41,True,2,22,7,0.003434161189943552,0.1,10,True,-5.000000000000028,1.16780194779858,55.0,21,20,True,1.4285714285714286
6,0.1,0.25,0.8,0.2686112156427715,0.2,13,1e-05,42,64,7,1182,1.0,-5.0000000000000355,-5.0,7.105427357600951e-15,7,4,41,True,2,12,6,0.003784487023949623,0.5,9,True,-5.000000000000021,1.171778597868979,55.0,46,20,True,1.5
6,0.1,0.25,0.8,0.2686112156427715,0.2,13,0.0001,42,64,7,1182,1.0,-5.0000000000000355,-5.0,7.105427357600951e-15,7,4,41,True,2,12,6,0.0036052840296179056,0.6,11,True,-5.000000000000022,1.194079172797501,59.0,17,20,True,1.8333333333333333
6,0.1,0.25,0.5,0.2686112156427715,0.2,13,1e-07,42,64,7,1182,1.0,-5.0000000000000355,-5.000000000000002,6.750155989720904e-15,7,3,41,True,2,27,7,0.003923162817955017,0.4,9,True,-5.000000000000021,1.1889368118718266,59.5,48,20,True,1.2857142857142858
6,0.1,0.25,0.5,0.2686112156427715,0.2,13,1e-06,42,64,7,1182,1.0,-5.0000000000000355,-5.000000000000002,6.750155989720904e-15,7,3,41,True,2,22,7,0.003428317839279771,0.9,8,True,-5.000000000000023,1.1904561470728368,55.0,24,20,True,1.1428571428571428
6,0.1,0.25,0.5,0.2686112156427715,0.2,13,0.0001,42,64,7,1182,1.0,-5.0000000000000355,-5.0,7.105427357600951e-15,7,4,41,True,2,12,6,0.0036607738584280014,0.8,9,True,-5.000000000000017,1.1680055928882211,57.0,34,20,True,1.5
6,0.1,0.25,0.5,0.2686112156427715,0.2,13,1e-05,42,64,7,1182,1.0,-5.0000000000000355,-5.0,7.105427357600951e-15,7,4,41,True,2,12,6,0.0055665678810328245,0.5,9,True,-5.000000000000009,1.1913046871777624,55.0,34,20,True,1.5
6,0.1,0.5,0.5,0.2686112156427715,0.2,13,1e-07,42,64,7,2164,1.0,-5.000000000000036,-4.999999999999997,7.815970093361046e-15,7,3,41,True,1,22,6,0.0034847580827772617,0.8,8,True,-5.000000000000022,1.1109762880951166,56.0,43,20,True,1.3333333333333333
6,0.1,0.5,0.5,0.2686112156427715,0.2,13,1e-06,42,64,7,2164,1.0,-5.000000000000036,-4.999999999999997,7.815970093361046e-15,7,3,41,True,1,22,6,0.0034693251363933086,0.4,6,True,-5.000000000000027,1.1141119210515171,53.0,23,20,False,1.0
6,0.1,0.5,0.5,0.2686112156427715,0.2,13,1e-05,42,64,7,2164,1.0,-5.000000000000036,-4.999999999999997,7.815970093361046e-15,7,3,41,True,1,17,6,0.003342214971780777,0.8,9,True,-5.000000000000032,1.0994237209670246,54.5,27,20,True,1.5
6,0.1,0.5,0.5,0.2686112156427715,0.2,13,0.0001,42,64,7,2164,1.0,-5.000000000000036,-4.999999999999997,7.815970093361046e-15,7,3,41,True,1,12,6,0.003232239978387952,0.8,7,True,-5.00000000000002,1.1132961451075971,56.0,37,20,True,1.1666666666666667
6,0.1,0.5,0.3,0.2686112156427715,0.2,13,1e-07,42,64,7,2164,1.0,-5.000000000000036,-4.999999999999997,7.815970093361046e-15,7,3,41,True,1,22,6,0.0035492300521582365,0.4,9,True,-5.000000000000027,1.1041974590625614,55.0,37,20,True,1.5
6,0.1,0.5,0.3,0.2686112156427715,0.2,13,1e-06,42,64,7,2164,1.0,-5.000000000000036,-4.999999999999997,7.815970093361046e-15,7,3,41,True,1,22,6,0.003549866145476699,0.8,7,True,-5.000000000000022,1.0994798839092255,59.0,30,20,True,1.1666666666666667
6,0.1,0.5,0.3,0.2686112156427715,0.2,13,0.0001,42,64,7,2164,1.0,-5.000000000000036,-4.999999999999997,7.815970093361046e-15,7,3,41,True,1,12,6,0.0034433449618518353,0.8,7,True,-5.00000000000003,1.1226956550963223,57.0,28,20,True,1.1666666666666667
6,0.1,0.5,0.3,0.2686112156427715,0.2,13,1e-05,42,64,7,2164,1.0,-5.000000000000036,-4.999999999999997,7.815970093361046e-15,7,3,41,True,1,17,6,0.003424200927838683,1.0,6,True,-5.000000000000019,1.100946030113846,48.5,20,20,False,1.0
6,0.25,0.1,0.3,0.27753131564596295,0.2,13,1e-07,42,64,17,602,1.0,-4.999999999999994,-4.999999999999999,1.0658141036401516e-15,17,6,41,True,4,32,16,0.008396511897444725,0.4,28,True,-5.000000000000057,2.300232679815963,62.0,50,20,True,1.75
6,0.25,0.1,0.3,0.27753131564596295,0.2,13,1e-06,42,64,17,602,1.0,-4.999999999999994,-4.999999999999999,1.0658141036401516e-15,17,6,41,True,4,27,16,0.006227970123291016,0.3,25,True,-5.000000000000042,2.255896429065615,63.0,53,20,True,1.5625
6,0.25,0.1,0.3,0.27753131564596295,0.2,13,1e-05,42,64,17,602,1.0,-4.999999999999994,-4.999999999999999,1.0658141036401516e-15,17,7,41,True,5,21,16,0.0068406700156629086,0.9,27,True,-5.000000000000041,2.263445090968162,63.0,55,20,True,1.6875
6,0.25,0.1,0.3,0.27753131564596295,0.2,13,0.0001,42,64,17,602,1.0,-4.999999999999994,-4.819276486239382,0.03614470275212232,14,41,41,False,nan,nan,nan,0.028570396825671196,0.4,32,True,-5.000000000000054,2.2376232058741152,62.0,54,20,False,0.0
6,0.25,0.1,0.1,0.11479653521648928,0.2,13,1e-07,42,64,17,602,1.0,-4.999999999999994,-5.0,1.2434497875801768e-15,17,7,41,True,5,37,16,0.007760479114949703,1.0,28,True,-5.000000000000019,2.286989900050685,61.5,54,20,True,1.75
6,0.25,0.1,0.1,0.11479653521648928,0.2,13,1e-06,42,64,17,602,1.0,-4.999999999999994,-5.0,1.2434497875801768e-15,17,7,41,True,5,26,16,0.0073007328901439905,0.5,29,True,-5.000000000000034,2.3195235040038824,62.0,53,20,True,1.8125
6,0.25,0.1,0.1,0.11479653521648928,0.2,13,0.0001,42,64,17,602,1.0,-4.999999999999994,-4.370629338733353,0.12587413225332839,8,41,41,False,nan,nan,nan,0.02728215092793107,0.6,29,True,-5.000000000000044,2.2327340699266642,62.5,59,20,False,0.0
6,0.25,0.1,0.1,0.11479653521648928,0.2,13,1e-05,42,64,17,602,1.0,-4.999999999999994,-5.0,1.2434497875801768e-15,17,7,41,True,5,22,16,0.007054717978462577,0.2,34,True,-5.000000000000036,2.2281563580036163,63.0,56,20,True,2.125
